SA2_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
308031222,0,3,0,94,5,0,0,0,0,0,0,0,0,0,41,45,0,0,0,0,0,0,0,0,0,5,0,5,169,33,7,100,9,54,5,52,10,189,47,667
308031223,0,15,0,221,0,0,0,0,0,0,0,0,5,4,219,229,0,0,0,0,0,4,0,0,0,14,18,44,436,78,24,284,45,206,24,161,39,989,248,2541
308041528,0,3,0,100,0,0,0,0,0,0,0,0,0,3,58,64,8,0,0,0,0,0,0,0,0,7,7,29,312,32,17,175,23,101,9,41,18,203,74,1004
308041529,0,0,0,54,0,4,0,0,0,0,0,0,0,0,36,37,0,0,0,0,0,0,0,0,0,3,4,10,157,16,10,80,16,55,0,24,15,129,44,533
308051530,0,12,0,48,5,0,0,3,0,0,0,0,0,6,74,89,3,0,0,0,0,0,0,0,0,11,8,31,117,53,11,91,11,65,10,93,17,460,83,1013
308051531,3,7,0,130,0,0,0,4,0,0,0,0,3,5,67,79,0,0,0,0,0,0,0,0,0,4,4,8,247,39,9,189,22,122,6,64,30,353,67,1147
308051532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
308051533,0,3,0,114,0,0,0,0,0,0,0,0,0,3,91,102,0,0,0,0,0,0,0,0,0,5,6,17,317,44,13,190,38,168,14,75,19,311,96,1287
308051534,0,0,0,62,0,0,0,0,0,0,0,0,0,3,18,26,0,0,0,0,0,0,0,0,0,3,6,10,126,16,8,78,14,82,14,36,3,166,32,568
308051535,0,0,0,114,3,0,0,0,0,0,0,0,0,8,76,101,0,0,0,0,0,0,0,0,0,9,7,28,281,22,17,164,22,164,27,74,24,413,96,1300
308051536,0,0,0,37,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,4,0,0,0,0,0,0,0,4,82,10,0,54,5,53,4,26,10,118,33,389
308051537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308051538,3,0,0,57,0,0,0,0,0,0,0,0,0,3,38,41,0,0,0,0,0,0,0,0,0,0,0,7,147,16,10,99,12,77,4,46,18,159,40,621
308051539,0,0,0,36,0,0,0,0,0,0,0,0,0,0,32,38,0,0,0,0,0,0,0,0,0,0,3,5,86,17,4,75,7,64,6,27,5,173,34,498
309011224,0,19,0,147,0,0,0,0,0,0,0,0,0,4,26,35,4,0,0,0,0,0,0,0,0,4,9,18,166,52,5,118,23,74,24,79,17,351,39,936
309011225,3,14,4,161,0,0,0,0,0,0,0,0,0,0,51,57,0,0,0,4,0,0,0,0,0,0,10,16,246,79,12,160,28,82,21,89,20,381,68,1176
309011226,3,3,0,119,3,0,0,0,0,0,0,5,0,9,52,65,0,0,0,0,0,0,0,0,0,12,13,28,249,67,15,170,32,96,21,102,28,650,72,1504
309011227,7,38,0,289,3,0,0,3,0,0,3,3,0,4,75,95,0,0,0,0,0,0,0,0,0,10,15,25,446,171,36,333,62,139,50,129,32,559,95,2046
309011228,0,10,0,138,0,3,0,0,0,0,0,0,0,8,54,64,0,0,0,0,0,0,0,0,0,6,12,20,271,107,16,166,43,109,25,108,23,517,70,1453
309011229,0,8,0,111,0,0,0,0,3,0,0,0,0,0,21,30,0,0,0,0,0,0,0,0,0,6,0,7,212,55,19,138,24,62,18,64,3,220,30,844
309021230,0,9,0,104,0,0,0,4,0,4,0,0,0,0,40,45,0,0,0,0,0,0,0,0,0,9,4,14,152,89,12,119,26,81,26,74,20,363,44,1007
309021231,0,17,0,133,0,0,4,0,0,0,3,0,0,5,59,74,0,0,0,0,0,0,0,0,4,11,3,22,237,90,12,213,44,101,33,105,29,428,67,1363
309021232,0,3,0,64,0,0,0,0,0,3,0,0,0,0,35,43,0,0,0,0,0,0,0,0,0,13,10,26,150,43,4,142,28,83,13,82,11,376,49,982
309021233,0,3,0,69,0,0,0,0,0,0,0,0,0,0,46,50,0,0,0,0,0,0,0,0,0,10,9,23,173,61,12,141,24,80,25,94,19,558,58,1246
309021234,3,11,0,214,0,0,0,4,0,0,0,0,0,6,80,93,0,0,5,0,0,0,0,0,0,7,8,21,413,100,22,287,45,150,30,121,30,559,98,1850
309031235,4,10,0,70,3,0,0,0,0,3,0,0,0,3,27,47,0,0,0,0,0,0,0,0,0,0,10,18,200,63,10,133,33,99,13,90,24,545,46,1256
309031236,0,0,0,77,0,0,0,0,0,0,0,0,0,0,43,48,0,0,4,0,0,0,0,0,0,6,12,24,214,79,16,184,36,101,26,88,21,419,60,1250
309031237,0,0,0,32,0,0,0,0,0,3,0,0,0,9,34,47,0,0,3,0,0,0,0,0,0,13,16,36,178,64,16,150,24,112,10,102,25,660,70,1415
309031238,0,14,0,111,5,0,0,0,0,0,0,0,3,11,85,102,0,0,0,0,0,0,0,0,0,8,9,21,341,123,25,310,67,169,45,137,47,691,103,2058
309031239,3,50,0,227,0,0,0,0,0,0,0,0,0,7,63,79,0,0,0,0,0,0,0,0,0,4,7,18,209,92,17,182,35,126,21,104,26,721,80,1602
309031240,3,20,0,159,0,0,0,0,0,0,0,3,0,3,46,59,3,0,0,0,0,0,0,0,0,5,9,23,177,63,12,125,26,126,16,125,35,750,60,1534
309041241,0,4,0,38,0,0,0,0,0,0,0,0,0,0,17,19,0,0,0,5,0,0,0,0,0,4,5,14,81,42,9,90,16,44,12,51,14,149,28,542
309041242,5,21,0,167,3,0,0,0,0,0,0,0,0,10,88,103,0,3,0,4,0,4,4,0,3,16,9,44,270,108,27,247,54,195,28,159,52,791,103,2030
309051243,0,11,0,88,0,0,0,0,0,0,0,0,0,6,24,38,0,0,0,0,0,0,4,0,0,4,5,15,103,55,9,103,14,73,24,68,20,296,33,792
309051244,0,4,0,114,5,0,0,0,0,0,0,0,0,3,56,61,0,0,4,0,0,0,0,0,0,3,7,22,350,91,17,237,46,149,18,125,26,609,76,1736
309051245,0,0,0,62,0,0,0,0,0,3,0,0,0,0,26,35,0,0,0,0,0,0,0,0,0,0,6,10,148,32,7,115,17,61,9,49,15,261,33,749
309061246,0,9,0,116,0,0,0,3,0,4,0,0,0,5,39,53,3,0,0,0,0,0,0,0,0,14,16,36,267,76,17,201,53,137,25,115,33,583,62,1577
309061247,0,0,0,41,0,0,0,0,0,0,0,0,0,4,33,35,0,0,0,0,0,0,0,0,0,5,3,8,169,45,0,127,29,75,16,66,30,324,40,918
309061248,0,8,0,102,4,0,0,3,0,0,0,5,0,5,54,65,5,0,0,6,0,0,0,0,6,27,21,61,403,119,14,347,66,189,27,142,30,672,98,2113
309061249,0,3,0,86,0,0,0,0,0,0,0,0,0,5,56,70,3,0,0,0,0,0,0,0,0,6,11,23,333,68,18,246,55,148,27,111,21,409,84,1522
309061250,0,13,0,82,0,0,0,0,0,4,0,0,0,0,26,35,0,0,0,0,0,3,3,0,0,8,8,14,119,35,11,107,20,75,19,74,16,309,39,827
