SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
119031370,993,658,316,204,6912
119031371,1296,939,392,152,7180
119031372,1700,1183,750,425,10650
119031373,744,482,293,95,5504
119031374,2116,1256,603,295,13969
119031664,557,340,171,71,7190
119031665,938,548,255,193,6143
119031666,1267,837,355,161,8249
119031667,726,409,191,114,5352
119041377,1019,639,332,106,6527
119041378,771,435,277,252,7908
119041379,1325,741,373,185,9012
119041380,1141,724,399,145,7407
119041381,1066,666,320,139,11187
119041382,1508,1023,566,241,8836
119041668,882,539,287,129,9057
119041669,727,452,221,177,4738
119041670,1066,620,325,191,8410
119041671,287,134,44,4,8071
120011383,2265,1649,843,254,13386
120011385,1788,1279,560,282,11123
120011386,1941,1311,618,299,12216
120011672,1064,640,236,67,7468
120011673,516,336,111,41,8353
120021387,1767,1372,619,118,10312
120021389,1280,863,332,97,8721
120021674,881,626,223,69,6354
120021675,1346,857,318,118,10716
120031392,988,514,187,49,6934
120031393,1396,845,441,243,9191
120031394,1443,745,276,121,11419
120031395,1318,839,265,118,8267
120031396,840,446,178,50,13326
120031576,291,182,84,16,1959
120031676,833,558,256,109,7523
120031677,937,569,372,305,7578
120031678,805,508,248,125,9794
120031679,1056,568,267,163,6118
120031680,1006,585,337,160,10823
120031681,948,647,319,156,5389
121011399,1656,1240,566,217,13787
121011401,871,585,208,59,8416
121011682,691,502,218,84,5946
121011683,1626,1124,615,305,7962
121011684,1307,962,531,277,12144
121011685,1476,1057,580,190,8337
121011686,1286,920,532,243,10060
121011687,1157,718,349,190,7395
121021403,2088,1291,567,132,12706
121021404,1267,806,397,92,6667
121021406,1844,1274,780,333,11196
121021577,834,539,267,88,7524
121021578,967,723,343,154,6254
121021579,722,628,466,288,7350
121031407,2375,1589,934,414,13953
121031408,2513,1782,1034,408,14888
121031409,1969,1243,625,236,10314
121031410,2197,1590,1176,445,12667
121031411,2092,1545,1227,741,12279
121031412,1991,1380,913,433,10990
121041413,1851,1554,788,223,12765
121041414,1447,1194,622,163,13037
121041416,1623,1307,853,335,12575
121041417,1261,937,534,82,9532
121041688,1535,1248,868,329,9021
121041689,1665,1197,757,253,9383
122011418,2262,1292,761,226,12027
122011419,2211,1370,795,248,15354
122021420,1704,1405,700,254,7772
122021421,1310,1009,700,226,6516
122021422,1802,1281,645,148,8260
122021690,1373,1133,823,451,8346
122021691,1033,680,296,87,6012
122031424,1324,759,485,197,7567
122031425,648,484,336,128,4244
122031427,1248,727,583,273,7175
122031429,1802,1081,451,165,13348
122031430,1460,943,494,286,9851
122031432,402,308,190,75,2142
122031692,737,570,533,232,4674
122031693,1354,838,419,161,7931
122031694,914,452,190,60,5342
