SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
212041312,9428,9339,18760,234,210,445,10,14,25,793,687,1477,6,0,8,3,3,12,7,8,13,3,4,9,0,4,0,3,0,3,0,0,0,831,722,1548,83,86,170,33,23,57,1182,1040,2225,667,631,1303,11276,11015,22288
212041313,4639,4790,9431,51,64,119,0,0,3,246,241,488,0,0,3,0,0,0,9,5,9,0,0,0,0,0,0,0,0,0,0,0,0,253,247,502,17,17,34,3,0,13,334,335,667,164,154,316,5125,5281,10413
212041316,3200,3190,6386,33,35,69,0,0,4,277,237,511,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,241,527,19,18,41,10,8,15,350,299,649,178,163,338,3724,3653,7376
212041317,9069,8692,17758,508,496,1002,23,23,39,981,852,1831,25,22,42,13,8,24,0,5,6,0,4,4,6,0,4,7,3,9,0,0,0,1044,915,1960,115,111,223,43,22,60,1712,1539,3246,540,476,1015,11321,10700,22016
212041318,5405,5506,10914,92,100,195,5,8,10,415,377,795,7,8,12,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,398,832,50,59,109,19,10,31,599,567,1167,229,198,427,6233,6274,12502
212041459,4929,4801,9727,161,173,338,13,4,21,787,692,1479,8,12,15,0,5,7,0,0,0,5,4,6,0,5,8,0,0,0,0,0,0,821,717,1534,51,67,116,12,8,25,1044,968,2014,416,367,791,6392,6136,12531
212041460,7944,8119,16067,206,225,433,18,22,41,822,754,1575,4,6,11,6,4,9,7,11,14,0,0,5,0,0,4,0,0,0,0,0,0,868,799,1666,97,99,199,21,23,44,1196,1148,2342,477,450,934,9619,9720,19335
212041563,8111,7556,15660,468,408,875,35,22,56,1119,956,2075,7,8,14,15,14,31,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1185,1000,2184,142,217,360,27,16,43,1819,1633,3459,1195,883,2075,11122,10072,21197
212041564,3873,3639,7509,140,125,267,12,4,14,383,321,711,3,0,0,0,0,3,4,0,4,0,0,0,0,3,3,0,0,0,0,0,0,402,333,741,69,63,129,12,7,22,629,531,1156,309,243,553,4810,4411,9222
212041565,6534,6602,13134,87,89,180,3,12,14,464,439,906,7,9,12,5,0,11,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,482,467,950,43,49,93,14,3,22,632,612,1247,272,303,578,7442,7515,14957
212041566,6454,6547,13002,166,168,331,9,11,19,548,572,1116,3,3,13,5,3,9,5,0,4,0,0,0,0,0,0,0,0,6,0,0,0,571,590,1162,49,55,101,12,3,19,799,815,1614,149,141,288,7398,7503,14903
212051319,7491,7745,15231,199,208,402,31,26,58,1309,1198,2504,17,18,40,6,5,14,8,13,16,6,0,7,0,0,0,0,0,4,0,0,0,1377,1264,2643,105,109,215,18,28,50,1699,1613,3308,393,346,742,9583,9700,19285
212051321,8909,9217,18127,190,182,372,20,22,38,1001,989,1988,6,8,11,12,18,31,4,9,12,4,4,6,3,4,3,6,4,11,0,0,0,1050,1053,2102,127,129,256,9,9,18,1380,1368,2750,300,308,613,10595,10895,21489
212051322,8019,8192,16205,337,320,654,44,51,91,1268,1253,2524,25,19,44,14,24,40,10,9,12,13,9,22,4,11,17,3,3,8,0,0,0,1382,1372,2755,212,221,435,12,9,30,1947,1923,3864,411,428,839,10372,10538,20908
212051323,6413,6738,13152,205,226,431,12,15,27,834,786,1624,14,9,24,3,3,4,0,5,3,0,6,5,0,0,0,0,3,4,0,0,0,869,824,1691,98,89,188,11,9,26,1184,1147,2331,231,253,483,7829,8141,15966
212051324,7739,8120,15863,176,180,349,19,15,33,1033,951,1992,21,19,34,4,0,7,0,3,7,9,7,14,0,5,11,3,5,4,0,0,0,1101,1006,2105,85,94,180,27,12,44,1385,1294,2677,309,269,575,9438,9683,19113
212051325,8360,8465,16822,194,162,355,14,11,27,853,789,1644,11,15,23,5,0,3,0,0,0,0,5,3,5,6,3,6,5,10,0,0,0,890,834,1721,72,66,135,22,13,32,1182,1072,2247,346,278,618,9881,9809,19691
212051326,8790,9117,17910,281,266,553,38,37,77,1539,1400,2939,19,16,38,5,8,16,11,11,24,8,12,17,4,3,9,7,3,13,0,0,0,1630,1501,3132,99,105,207,30,28,54,2037,1901,3939,426,404,829,11253,11428,22678
212051327,8670,9232,17906,149,146,294,10,8,23,654,673,1331,10,11,25,6,6,9,3,0,3,4,0,4,0,0,0,4,4,11,0,0,0,698,711,1409,58,60,121,12,7,23,920,927,1847,372,427,797,9961,10586,20543
212051567,2584,2408,4991,334,316,642,53,67,121,1388,1148,2535,25,45,66,24,12,38,19,27,47,34,41,72,17,19,40,3,18,21,0,0,0,1570,1371,2939,153,128,279,17,15,37,2069,1835,3901,534,342,879,5182,4588,9770
